total	growth_rate	has_grown	euclidian	shannon_index	bray_curtis	init	density	size
0.043800165357444396	0.004680597223625766	0.6666666666666666	0.022873046405664673	-0.29885853168768506	0.34412974803551066	0	0.1111111111111111	3
0.04378553050199488	0.004142599103919823	0.6666666666666666	0.01587523696818528	-0.17007231753066243	0.0823467767345828	1	0.1111111111111111	3
0.042949605587936056	0.004930284931407772	0.6666666666666666	0.024644699038785002	-0.14111149333546136	0.5138062509821696	2	0.1111111111111111	3
0.04361577055298272	0.005252277637939397	0.6666666666666666	0.023237202624029382	-0.26908867500695544	0.3806594613443097	3	0.1111111111111111	3
0.043881158964757194	0.007216103837269548	0.6666666666666666	0.026531007138480018	-0.3502739552452545	0.34146063222503886	4	0.1111111111111111	3
0.0445508700857201	0.007620598848584023	1.0	0.021003882537064027	-0.22574607017253268	0.13391505162036266	5	0.1111111111111111	3
0.04394929224198386	0.010404464857676637	1.0	0.02606639590420687	-0.20511383928154658	0.08577016657449366	6	0.1111111111111111	3
0.044388379454256735	0.012098546212511085	1.0	0.02695416760381672	-0.23543617744199707	0.11054668261450296	7	0.1111111111111111	3
0.04381626192782416	0.005890140649862572	0.6666666666666666	0.027917369150539835	-0.41769565223846616	0.34752775678753034	8	0.1111111111111111	3
0.04468839518922929	0.012783778050373673	1.0	0.02762232514937166	-0.2750855297241055	0.14625890466736058	9	0.1111111111111111	3
0.04367319137563128	0.0027126331532963586	0.6666666666666666	0.020435683866950428	-0.2758888864870188	0.35228461234019837	10	0.1111111111111111	3
0.043609148921242166	0.004159571953436394	0.6666666666666666	0.022300194116189446	-0.26871272813600666	0.3756081613992859	11	0.1111111111111111	3
0.0443832807489719	0.00735184853207893	0.6666666666666666	0.027305367476578506	-0.3797160364111424	0.2534798690999668	12	0.1111111111111111	3
0.04448135410499973	0.0035206326321451276	0.6666666666666666	0.018019492626787002	-0.27042794452604335	0.20133839971365775	13	0.1111111111111111	3
0.043579927290798015	0.005541304995668341	0.6666666666666666	0.025392056768333966	-0.3171011778172632	0.3886575504907015	14	0.1111111111111111	3
0.044156809414870955	0.013741580143226361	1.0	0.02814334124342833	-0.22067740105090206	0.0948603255811451	15	0.1111111111111111	3
0.044629620694169446	0.007196962371027868	0.6666666666666666	0.026389961447788907	-0.3400821677792205	0.19115190190850184	16	0.1111111111111111	3
0.044187315187915556	0.003817571916965776	0.6666666666666666	0.021708452815541124	-0.328844211471774	0.26930725992660587	17	0.1111111111111111	3
0.04429324745028671	0.0021797245551653396	0.6666666666666666	0.016559174619724178	-0.28249171843023246	0.23004238943346145	18	0.1111111111111111	3
0.04383061433132017	0.0039961792257445965	0.6666666666666666	0.02493915510309076	-0.3845460230593646	0.33426472629736936	19	0.1111111111111111	3
0.043421591585096814	0.01081592943357685	0.6666666666666666	0.027046325789899576	-0.26315404627462824	0.43467226883537846	20	0.1111111111111111	3
0.04466063342269933	0.009266756824096598	1.0	0.022629478817052087	-0.24218868074733768	0.15092668463368786	21	0.1111111111111111	3
0.04304288486144856	0.004875298898468067	1.0	0.016083672906297117	-0.13145000483430924	0.05555179841771141	22	0.1111111111111111	3
0.04416980459956306	0.007370970709039393	0.6666666666666666	0.023141812308234002	-0.2889594936876354	0.29206308993496766	23	0.1111111111111111	3
