total	growth_rate	has_grown	euclidian	shannon_index	bray_curtis	init	pattern	condition
0.09000271187403765	-0.0013568266825610402	0.0	1875.21365079823	-4.440892098500626e-16	4.440892098500626e-16	0	null	CD
0.09000428326373686	-0.0014325655672434829	0.0	536.1363579198874	0.0	2.220446049250313e-16	1	null	CD
0.09000473054743549	-0.0014284815765892508	0.0	736.3197626708651	1.7763568394002505e-15	5.551115123125783e-16	2	null	CD
0.09000168050689057	-0.001383084983122909	0.0	1386.7311623317676	8.881784197001252e-16	5.551115123125783e-16	3	null	CD
0.0900035769562429	-0.001611391068935547	0.0	48.90306153480614	4.440892098500626e-16	4.440892098500626e-16	4	null	CD
0.0900060493219997	-0.001420373319595665	0.0	882.5490997584955	8.881784197001252e-16	2.220446049250313e-16	5	null	CD
0.09000144604593283	-0.0014725646929390998	0.0	273.99031383233586	0.0	5.551115123125783e-16	6	null	CD
0.09000713582512135	-0.0012820455187027714	0.0	6996.893727760647	-1.3322676295501878e-15	5.551115123125783e-16	7	null	CD
0.09000238477128554	-0.0013037720582782894	0.0	5819.155122912852	0.0	4.440892098500626e-16	8	null	CD
0.09000162997724741	-0.0012853409560667408	0.0	7976.062085215869	0.0	5.551115123125783e-16	9	null	CD
0.09000353579782705	-0.0014387388005483801	0.0	326.829692409504	0.0	3.3306690738754696e-16	10	null	CD
0.09000154230532911	-0.001416356607124814	0.0	582.904366437326	1.3322676295501878e-15	2.220446049250313e-16	11	null	CD
0.09000738320866077	-0.0013368807130288737	0.0	2057.9788533140545	-4.440892098500626e-16	6.661338147750939e-16	12	null	CD
0.09000396473831629	-0.0013297719796296903	0.0	2679.842016499542	8.881784197001252e-16	6.661338147750939e-16	13	null	CD
0.09000570736856661	-0.001320991091095019	0.0	5290.282372176979	2.6645352591003757e-15	4.440892098500626e-16	14	null	CD
0.09000154518364523	-0.0015011998553960757	0.0	248.81944673287083	-1.3322676295501878e-15	4.440892098500626e-16	15	null	CD
0.09000573006177463	-0.0012953291863303659	0.0	9855.591712881815	4.440892098500626e-16	4.440892098500626e-16	16	null	CD
0.09000242557918033	-0.0013140495594908927	0.0	6374.934319023626	-1.3322676295501878e-15	5.551115123125783e-16	17	null	CD
0.09000368397382373	-0.0013071798782915724	0.0	5183.330467532098	-1.3322676295501878e-15	2.220446049250313e-16	18	null	CD
0.09000741909334437	-0.0014305221255188115	0.0	402.06836633182746	0.0	8.881784197001252e-16	19	null	CD
0.09000139517015827	-0.0015170691949238726	0.0	119.27633473954822	8.881784197001252e-16	4.440892098500626e-16	20	null	CD
0.09000136275299113	-0.0014661055995050319	0.0	419.0623548606517	4.440892098500626e-16	2.220446049250313e-16	21	null	CD
0.09000485336661031	-0.0012674229518704703	0.0	11662.041752172701	-8.881784197001252e-16	4.440892098500626e-16	22	null	CD
0.09000168442319667	-0.0012755052616410735	0.0	12758.47418382158	-4.440892098500626e-16	3.3306690738754696e-16	23	null	CD
0.0900016139367071	-0.0012690312632660972	0.0	13404.261074354768	-8.881784197001252e-16	7.771561172376096e-16	24	null	CD
0.09000380908506733	-0.0012869950489153305	0.0	18500.928216615874	4.3021142204224816e-16	1.1102230246251565e-16	25	null	CD
0.09000521687206421	-0.0013315421575552737	0.0	7411.515719251383	-4.996003610813204e-16	0.0	26	null	CD
0.0900026357279203	-0.0012853409412266316	0.0	8333.78638538678	4.440892098500626e-16	0.0	27	null	CD
0.09000192315600887	-0.001280404318020893	0.0	11185.043459790517	-8.881784197001252e-16	4.440892098500626e-16	28	null	CD
0.09000152839371638	-0.0012738806230010867	0.0	11491.481667016993	-3.552713678800501e-15	8.881784197001252e-16	29	null	CD
0.09000226583539275	-0.001285340942217289	0.0	9765.032856757174	-2.220446049250313e-15	5.551115123125783e-16	30	null	CD
0.0900021258572051	-0.0012706435613477173	0.0	10081.468347616263	-1.3322676295501878e-15	5.551115123125783e-16	31	null	CD
0.09000486672435638	-0.001278767024479433	0.0	8462.523696775927	-4.440892098500626e-16	2.220446049250313e-16	32	null	CD
0.09000314181686998	-0.001637236460378996	0.0	59.38781825248978	-2.220446049250313e-16	2.220446049250313e-16	33	null	CD
0.0900064901987655	-0.001282045515576036	0.0	14259.886106227916	2.220446049250313e-16	1.1102230246251565e-16	34	null	CD
0.09000170048448959	-0.0012771340790036555	0.0	12362.645848642162	-8.881784197001252e-16	4.440892098500626e-16	35	null	CD
0.090003154491324	-0.0012820455467433837	0.0	10744.34735724644	-4.440892098500626e-16	1.1102230246251565e-16	36	null	CD
0.09000134300064626	-0.0012610304437669318	0.0	20113.272372815147	0.0	2.220446049250313e-16	37	null	CD
0.09000269988103726	-0.0012642186815901076	0.0	20046.466383111827	-4.440892098500626e-16	3.3306690738754696e-16	38	null	CD
0.09000205549210091	-0.0012903157901127964	0.0	6202.712394527169	-4.440892098500626e-16	3.3306690738754696e-16	39	null	CD
0.0900019756145869	-0.0012919826363042368	0.0	5636.316385051167	-3.552713678800501e-15	5.551115123125783e-16	40	null	CD
0.09000255973766755	-0.0012771340890057085	0.0	8374.861057041198	-1.7763568394002505e-15	6.661338147750939e-16	41	null	CD
0.09000304867798191	-0.0012755053252118075	0.0	8029.008459064007	1.3322676295501878e-15	4.440892098500626e-16	42	null	CD
0.0900072264487611	-0.0013123252519670232	0.0	4668.39666329671	1.7763568394002505e-15	5.551115123125783e-16	43	null	CD
0.09000338361773755	-0.0012771341677505342	0.0	10135.689621274876	0.0	2.220446049250313e-16	44	null	CD
